name,text
NA,"2016-03-034418House of Reps0
Thursday, 3 March 2016
The SPEAKER ( Hon.
Tony Smith ) took the chair at 09:00 made an acknowledgement of country and read prayers."
Mr JOYCE ,"I move:
That this bill be now read a second time.
Australia's rural industries are among the most innovative and productive in the world. Continued investment in rural research and development (R&D) is vital to ensure ongoing growth and improvement in the profitability and competitiveness of Australia's agriculture, fisheries, forestry and food sectors. In recognition of this, the Australian government works with industry to co-invest in research through our world-leading rural R&D system.
Much of this work is delivered through the 15 rural research and development corporations (RDCs). RDCs provide a mechanism for industry to come together and invest collectively in R&D. The government assists by establishing and collecting a levy on behalf of an industry, if an industry requests this. The government also matches an RDC's eligible R&D spending up to a legislated cap. It is estimated that for every dollar that the government invests in rural R&D, farmers generate a $12 return over 10 years.
Feedback from primary producers is an integral part of how RDCs work. RDCs are required to consult with industry on their activities, to give those who fund the research, via levies, an opportunity to provide input into the strategic direction of the corporation.
Recent reviews and inquiries, including the Senate Rural and Regional Affairs and Transport References Committee's inquiries intoindustry structures and systems governing levies on grass-fed cattle and industry structures and systems governing the imposition of and disbursement of marketing and R&D levies in the agricultural sector, have identified improved consultation with levy payers as key to the ongoing strength of Australia's rural R&D system. Several of these inquiries recommended that the establishment of levy payer registers would offer a way for RDCs to consult more effectively with the primary producers who fund them.
The government agrees that levy payers should have more of a say in how their levy funds are spent. RDCs should know who their levy payers are. Levy payers' registers would provide RDCs with the ability to identify and consult directly with levy payers on research priorities and levy expenditure, and to accurately and efficiently allocate voting entitlements for polls, where this is relevant.
This bill makes possible the establishment of levy payer registers by RDCs by amending the Primary Industries Levies and Charges Collection Act 1991. As it stands, the act only permits the distribution of levy payer information to the wool and dairy RDCs. This bill remedies this by allowing the government to provide levy payer information, for the purposes of a levy payer register, to the 13 other RDCs.
The bill removes the legislative impediment to the development of levy payer registers. However, recognising that a 'one size fits all' approach would not be appropriate given the diversity of Australian agricultural industries, the bill allows for the distribution of levy payer information to an RDC to occur only where an RDC, in consultation with industry, requests it, and that request is approved by the minister. The department would then work with the RDC on the administrative design and development of a register. This is consistent with the government's approach to the broader R&D levy system, which is centred on industry support.
The bill also allows the Secretary of the Department of Agriculture and Water Resources to permit levy payer information to be provided to the Australian Bureau of Statistics. This is consistent with the government's public data policy statement, which commits to securely share data between Australian government entities to improve efficiencies, and inform policy development and decision-making.
The bill maintains current practices for distribution of the name and address of the person or body that lodges levy returns with the department to RDCs, industry representative bodies and others. In limited situations, the person that lodges returns is also the levy payer (for example, in the turf industry).
The bill does not permit secondary disclosure of information included in a levy payer register, except in limited circumstances and where expressly permitted by the secretary in writing. This aims to protect the integrity and security of levy and charge payers' personal information.
Where an eligible recipient is permitted to disclose levy payer information to a secondary recipient, that person or body may only use the information for restricted purposes relating to R&D, marketing, biosecurity or the national residue survey.
Where levy payer contact details are to be provided to an industry representative body, the administrative arrangements will enable levy payers to choose to opt out and not receive information.
The passage of this bill is the first key step in allowing for the development of levy payer registers, making it possible for the RDCs to identify and connect directly with those who fund their work.
Through greater levy payer engagement in the R&D system, RDCs will be able to better align research investments to industry priorities—improving returns to primary producers and contributing to a more profitable, competitive and sustainable agricultural sector.
We will now work with the RDCs and industry to make this happen.
The government is committed to an Australian R&D system that remains transparent, consultative and delivers tangible benefits to Australia's agricultural industries into the future.
Debate adjourned."
Mr FRYDENBERG ,"I move:
That this bill be now read a second time.
The Law and Justice Legislation Amendment (Northern Territory Local Court) Bill 2016 will make consequential amendments to Commonwealth legislation arising from the enactment of the Local Court Act 2015 of the Northern Territory.
The Local Court Actamalgamates the Northern Territory Local Court and the Court of Summary Jurisdiction into one court, called the Northern Territory Local Court. The Local Court Act also makes changes to the title of judicial officers of that court. It is expected to commence by proclamation on 1 May 2016.
A number of Commonwealth acts confer jurisdiction on state and territory courts. Without amendments to Commonwealth legislation, some of the provisions of the Local Court Act will have unintended consequences for the jurisdiction of the Northern Territory courts. A change in title for judicial office holders of the Northern Territory Local Court may change the effect of Commonwealth legislation that confers power and jurisdiction on Northern Territory courts. In some instances, this will mean that Northern Territory Local Court judges will have expanded jurisdiction. In other instances, Commonwealth legislation will no longer apply to Local Court judges, including provisions that confer jurisdiction on magistrates. Finally, despite the Northern Territory Local Court being a court of summary jurisdiction, some Commonwealth acts may no longer extend this jurisdiction to the Local Court.
The Law and Justice Legislation Amendment (Northern Territory Local Court) Bill 2016 will make amendments to address each of these unintended consequences. It achieves this by making minor technical amendments to the Acts Interpretation Act 1901and other Commonwealth legislation to ensure the continued effectiveness of provisions that confer jurisdiction or powers on judicial officers.
This bill is important in a variety of contexts, including in relation to criminal law matters where functions performed by Northern Territory Local Court magistrates are depended upon for the purposes of Commonwealth criminal matters, for example the issuing of warrants.
Debate adjourned."
Mr COULTON ,"I present the report from the Publications Committee sitting in conference with the Publications Committee of the Senate. Copies of the report have been placed on the table.
Report—by leave—agreed to."
Mr CHAMPION ,"I rise to speak on the Telecommunications Legislation Amendment (Access Regime and NBN Companies) Bill 2015. Fundamentally, what this bill points to is the government's failure to provide digital equality of opportunity. We often hear those opposite talking about the previous Rudd and Gillard governments, but they do not talk much about the Howard government. Eleven years in power, a critical time for telecommunications and internet infrastructure, and what was done?"
Ms Rishworth,Nothing!
Mr CHAMPION,"I think they had eight plans over 11 years, and no action. We all know that in 2007—I know the member for Kingston can remember campaigning in 2007 about the internet—the Liberal Party's failure on this policy was writ large and was there for all to see. We were just at the beginning of people's need for high-speed internet. That need, as we know, has only grown over that time.
Let us remember where we began before the National Broadband Network came to be and before this debate came to be. We had dealt with 11 years of inaction in a vital area of microeconomic reform and a vital area of the growing and emerging economy. For all the now Prime Minister's talk about and agility and innovation, his party shows none of that. Their history on this is appalling. When we got to government there was basically a sclerotic system based largely around Telstra, but Telstra did not have the incentive to invest in high-speed internet in places like Craigmore or Andrews Farm or anywhere else. We had a situation where in fact there were significant disincentives for them to invest and upgrade their facilities.
I can remember having a discussion with Telstra in which they basically told me they were not going to upgrade the exchange in Craigmore, a growing suburb, because there was no money in it for them—they would put in all the infrastructure, and pay for that, and then other carriers would monopolise their market. So during the Howard era we had significant disincentives for investment in internet infrastructure, in the then sclerotic copper network.
When Labor came to government we had a bold and agile policy of innovation when we said we were going to have 'fibre to the preference'."
Mr Frydenberg,Flexibility!
Mr CHAMPION,"I hear the member opposite cry out 'flexibility'. We said we were going to have 'fibre to the premise'. That took a lot of planning and a lot of action. We put in place the great fibre network, the backbone."
NA,Ms Rishworth interjecting—
